sample_name	alpha_lcmsms_richness	alpha_lcmsms_shannon	read_count_shotgun_wolr2pe	alpha_shotgun_richness	alpha_shotgun_shannon	alpha_shotgun_faithspd	read_count_16s_deblur	alpha_16S_richness	alpha_16S_shannon	alpha_16S_faithspd	dna_conc	biomass	extraction_protocol_storage_solution	extraction_protocol	storage_solution	sample_type	sample_type1	sample_type2	sample_type3	sample_type4	unique_sample_id	unique_sample_id_tech_rep	pseudosample_id	sample_name_mantel_solution	sample_name_mantel_protocol	bacteria	bacteria_function	buffer_removal	col	collection_timestamp	compressed_well	description	diet	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	extraction_kit	extraction_vendor	genomic_spike_amount_in_ng	genomic_spike_in	genomic_spike_in_copy_number	genomic_spike_in_description	genomic_spike_in_ng_per_ul	genomic_spike_in_replicate	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_mass_index	host_body_product	host_body_site	host_common_name	host_height	host_height_units	host_life_stage	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	katseq_number_of_cells	latitude	locationcell	longitude	lysis_buffer_volume	metagenomic_spike_in	metagenomic_spike_in_amount_ng_per_ul	metagenomic_spike_in_copy_number	metagenomic_spike_in_replicate	physical_specimen_location	physical_specimen_remaining	plate_id	plate_id_number	plate_biomass	processing_date	qiita_study_id	replicate	rna_conc	round	row	sample_technical_replicate	scientific_name	sex	swab_type	taxon_id	title	vivarium	water
14332.361162769	128	5.188685665339145	228344	2255	8.141545284204113	238.9944259169838	6	NA	NA	NA	0.743	low	EtOH-Matrix	Matrix	EtOH	surface	surface	surface_swab_floor	surface_swab_floor	EtOH-Matrix_surface_swab_floor	surface_swab_floor_room1247	surface_swab_floor_room1247	Plate 4 LBM_surface_swab_floor_room1247_etoh_Matrix	LBM_surface_swab_floor_room1247_5	LBM_surface_swab_floor_room1247_2	NA	NA	dry	9	2022-03-25	D9	surface_swab_floor	NA	TRUE	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	MagMax Microbiome Ultra	ThermoFisher	NA	NA	NA	NA	NA	NA	USA:CA: San Diego	NA	not provided	NA	NA	NA	NA	NA	NA	not provided	NA	NA	room1247	NA	NA	not provided	NA	32.5	B9	-117.25	600ul	FALSE	NA	NA	NA	NA	FALSE	Plate 4 LBM	4	LBM	4/5/22	14332	2	NA	1_2	D	2	indoor metagenome	NA	custom	1256227	Matrix_pipeline_validation	NA	NA
14332.361162789	106	4.481200267745977	390616	2525	8.291715643161817	262.6531418980841	3389	105	5.802578003767237	5453.454370167417	0.747	low	EtOH-Matrix	Matrix	EtOH	surface	surface	surface_swab_floor	surface_swab_floor	EtOH-Matrix_surface_swab_floor	surface_swab_floor_room1247	surface_swab_floor_room1247	Plate 4 LBM_surface_swab_floor_room1247_etoh_Matrix	LBM_surface_swab_floor_room1247_4	LBM_surface_swab_floor_room1247_1	NA	NA	dry	9	2022-03-25	B9	surface_swab_floor	NA	TRUE	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	MagMax Microbiome Ultra	ThermoFisher	NA	true	5510000	syndna plasmids	0.013	NA	USA:CA: San Diego	NA	not provided	NA	NA	NA	NA	NA	NA	not provided	NA	NA	room1247	NA	NA	not provided	NA	32.5	A9	-117.25	600ul	FALSE	NA	NA	NA	NA	FALSE	Plate 4 LBM	4	LBM	4/5/22	14332	1	NA	1_2	B	1	indoor metagenome	NA	custom	1256227	Matrix_pipeline_validation	NA	NA
14332.361162805	71	4.489654173291859	1188253	NA	NA	NA	7190	NA	NA	NA	0.755	low	IPA-Matrix	Matrix	IPA	surface	surface	surface_swab_floor	surface_swab_floor	IPA-Matrix_surface_swab_floor	surface_swab_floor_room1247	surface_swab_floor_room1247	Plate 4 LBM_surface_swab_floor_room1247_isopropanol_Matrix	LBM_surface_swab_floor_room1247_6	LBM_surface_swab_floor_room1247_6	NA	NA	dry	9	2022-03-25	N9	surface_swab_floor	NA	TRUE	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	MagMax Microbiome Ultra	ThermoFisher	3.38	NA	NA	syndna plasmids	NA	1	USA:CA: San Diego	NA	not provided	NA	NA	NA	NA	NA	NA	not provided	NA	NA	room1247	NA	NA	not provided	NA	32.5	G9	-117.25	600ul	TRUE	0.04	25900000	1	NA	FALSE	Plate 4 LBM	4	LBM	4/5/22	14332	6	NA	1_2	N	6	indoor metagenome	NA	custom	1256227	Matrix_pipeline_validation	NA	NA
14332.361162812	119	4.887251276596548	271075	NA	NA	NA	5358	NA	NA	NA	0.756	low	EtOH-Matrix	Matrix	EtOH	surface	surface	surface_swab_floor	surface_swab_floor	EtOH-Matrix_surface_swab_floor	surface_swab_floor_bayd	surface_swab_floor_bayd	Plate 4 LBM_surface_swab_floor_bayd_etoh_Matrix	LBM_surface_swab_floor_bayd_6	LBM_surface_swab_floor_bayd_3	NA	NA	dry	10	2022-03-25	F10	surface_swab_floor	NA	TRUE	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	MagMax Microbiome Ultra	ThermoFisher	3.38	NA	NA	syndna plasmids	NA	2	USA:CA: San Diego	NA	not provided	NA	NA	NA	NA	NA	NA	not provided	NA	NA	bayd	NA	NA	not provided	NA	32.5	C10	-117.25	600ul	TRUE	0.04	25900000	2	NA	FALSE	Plate 4 LBM	4	LBM	4/5/22	14332	3	NA	1_2	F	3	indoor metagenome	NA	custom	1256227	Matrix_pipeline_validation	NA	NA
14332.361162817	74	3.541309147819349	69308	NA	NA	NA	5290	NA	NA	NA	0.754	low	IPA-Matrix	Matrix	IPA	surface	surface	surface_swab_keyboard	surface_swab_keyboard	IPA-Matrix_surface_swab_keyboard	surface_swab_keyboard_pc_bayd	surface_swab_keyboard_pc_bayd	Plate 4 LBM_surface_swab_keyboard_pc_bayd_isopropanol_Matrix	LBM_surface_swab_keyboard_pc_bayd_6	LBM_surface_swab_keyboard_pc_bayd_6	NA	NA	dry	12	2022-03-25	P12	surface_swab_keyboard	NA	TRUE	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	MagMax Microbiome Ultra	ThermoFisher	2.1	NA	NA	syndna plasmids	NA	2	USA:CA: San Diego	NA	not provided	NA	NA	NA	NA	NA	NA	not provided	NA	NA	pc_bayd	NA	NA	not provided	NA	32.5	H12	-117.25	600ul	TRUE	0.02	16100000	2	NA	FALSE	Plate 4 LBM	4	LBM	4/5/22	14332	6	NA	1_2	P	6	indoor metagenome	NA	custom	1256227	Matrix_pipeline_validation	NA	NA
14332.361164167	64	4.226529568821626	220605	753	3.8432517045103514	99.12702498612498	844	43	4.886639159323429	3097.669190497805	0.742	low	IPA-Matrix	Matrix	IPA	surface	surface	surface_swab_keyboard	surface_swab_keyboard	IPA-Matrix_surface_swab_keyboard	surface_swab_keyboard_pc_bayg	surface_swab_keyboard_pc_bayg	Plate 4 LBM_surface_swab_keyboard_pc_bayg_isopropanol_Matrix	LBM_surface_swab_keyboard_pc_bayg_5	LBM_surface_swab_keyboard_pc_bayg_5	NA	NA	dry	11	2022-03-25	N11	surface_swab_keyboard	NA	TRUE	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	MagMax Microbiome Ultra	ThermoFisher	NA	NA	NA	NA	NA	NA	USA:CA: San Diego	NA	not provided	NA	NA	NA	NA	NA	NA	not provided	NA	NA	pc_bayg	NA	NA	not provided	NA	32.5	G11	-117.25	600ul	FALSE	NA	NA	NA	NA	FALSE	Plate 4 LBM	4	LBM	4/5/22	14332	5	NA	1_2	N	5	indoor metagenome	NA	custom	1256227	Matrix_pipeline_validation	NA	NA
14332.361164168	133	4.848365947023085	370700	2283	8.065583378936937	240.6888969018195	3276	136	6.705144639496442	6825.813229590759	0.738	low	EtOH-Matrix	Matrix	EtOH	surface	surface	surface_swab_floor	surface_swab_floor	EtOH-Matrix_surface_swab_floor	surface_swab_floor_bayd	surface_swab_floor_bayd	Plate 4 LBM_surface_swab_floor_bayd_etoh_Matrix	LBM_surface_swab_floor_bayd_5	LBM_surface_swab_floor_bayd_2	NA	NA	dry	10	2022-03-25	D10	surface_swab_floor	NA	TRUE	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	MagMax Microbiome Ultra	ThermoFisher	NA	NA	NA	NA	NA	NA	USA:CA: San Diego	NA	not provided	NA	NA	NA	NA	NA	NA	not provided	NA	NA	bayd	NA	NA	not provided	NA	32.5	B10	-117.25	600ul	FALSE	NA	NA	NA	NA	FALSE	Plate 4 LBM	4	LBM	4/5/22	14332	2	NA	1_2	D	2	indoor metagenome	NA	custom	1256227	Matrix_pipeline_validation	NA	NA
14332.361164169	68	2.6384091019143416	337915	2279	7.977788309202983	241.5555570152263	3712	135	6.740885197366083	6283.499116727817	0.743	low	IPA-Matrix	Matrix	IPA	surface	surface	surface_swab_floor	surface_swab_floor	IPA-Matrix_surface_swab_floor	surface_swab_floor_bayd	surface_swab_floor_bayd	Plate 4 LBM_surface_swab_floor_bayd_isopropanol_Matrix	LBM_surface_swab_floor_bayd_5	LBM_surface_swab_floor_bayd_5	NA	NA	dry	10	2022-03-25	N10	surface_swab_floor	NA	TRUE	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	MagMax Microbiome Ultra	ThermoFisher	NA	NA	NA	NA	NA	NA	USA:CA: San Diego	NA	not provided	NA	NA	NA	NA	NA	NA	not provided	NA	NA	bayd	NA	NA	not provided	NA	32.5	G10	-117.25	600ul	FALSE	NA	NA	NA	NA	FALSE	Plate 4 LBM	4	LBM	4/5/22	14332	5	NA	1_2	N	5	indoor metagenome	NA	custom	1256227	Matrix_pipeline_validation	NA	NA
14332.361164170	74	4.278848995241813	82686	1910	8.179044655183926	202.288994856494	1778	112	6.371708036450511	5155.083794031876	0.74	low	IPA-Matrix	Matrix	IPA	surface	surface	surface_swab_floor	surface_swab_floor	IPA-Matrix_surface_swab_floor	surface_swab_floor_room1247	surface_swab_floor_room1247	Plate 4 LBM_surface_swab_floor_room1247_isopropanol_Matrix	LBM_surface_swab_floor_room1247_5	LBM_surface_swab_floor_room1247_5	NA	NA	dry	9	2022-03-25	L9	surface_swab_floor	NA	TRUE	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	MagMax Microbiome Ultra	ThermoFisher	NA	NA	NA	NA	NA	NA	USA:CA: San Diego	NA	not provided	NA	NA	NA	NA	NA	NA	not provided	NA	NA	room1247	NA	NA	not provided	NA	32.5	F9	-117.25	600ul	FALSE	NA	NA	NA	NA	FALSE	Plate 4 LBM	4	LBM	4/5/22	14332	5	NA	1_2	L	5	indoor metagenome	NA	custom	1256227	Matrix_pipeline_validation	NA	NA
14332.361164173	156	5.497822564801602	150560	1675	7.087476052426407	177.0818399783827	501	54	5.27414492992566	3512.255207899158	0.751	low	EtOH-Matrix	Matrix	EtOH	surface	surface	surface_swab_keyboard	surface_swab_keyboard	EtOH-Matrix_surface_swab_keyboard	surface_swab_keyboard_pc_bayd	surface_swab_keyboard_pc_bayd	Plate 4 LBM_surface_swab_keyboard_pc_bayd_etoh_Matrix	LBM_surface_swab_keyboard_pc_bayd_6	LBM_surface_swab_keyboard_pc_bayd_3	NA	NA	dry	12	2022-03-25	H12	surface_swab_keyboard	NA	TRUE	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	MagMax Microbiome Ultra	ThermoFisher	NA	NA	NA	NA	NA	NA	USA:CA: San Diego	NA	not provided	NA	NA	NA	NA	NA	NA	not provided	NA	NA	pc_bayd	NA	NA	not provided	NA	32.5	D12	-117.25	600ul	FALSE	NA	NA	NA	NA	FALSE	Plate 4 LBM	4	LBM	4/5/22	14332	3	NA	1_2	H	3	indoor metagenome	NA	custom	1256227	Matrix_pipeline_validation	NA	NA
